URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,DiscountOffercleaned,SizeOption,Ratings,Reviews,standard discount,,                            Myntra Sales Analysis,,,,,
https://www.myntra.com/trousers/sassafras/sassafras-women-olive-green-peg-trousers/8643285/buy,8643285,SASSAFRAS,Western,trousers,Women,,1599,50,5000.0%,"26, 28, 30, 32, 34, 36",3.6,988,,,"3.Use VLOOKUP/XLOOKUP to find the product brand, price, and rating of the product with Product_id ""11226634"".",,,,,
https://www.myntra.com/tops/her-by-invictus/her-by-invictus-white--black-floral-monochrome-smart-casual-top/9451341/buy,9451341,her by invictus,Western,tops,Women,,1699,30,3000.0%,"S, M, L, XL, XXL",4.2,988,,,11226634,,,,,
https://www.myntra.com/jackets/stylestone/stylestone-women-blue-solid-denim-jacket/7526008/buy,7526008,StyleStone,Western,jackets,Women,,1999,55,5500.0%,"S, M, L, XL",4.2,988,,,Product Brands,,,,,
https://www.myntra.com/tops/mayra/mayra-women-mustard-yellow--green-ditsy-floral-printed-cinched-waist-top/11235516/buy,11235516,Mayra,Western,tops,Women,,995,58,5800.0%,"S, M, L, XL",4.1,988,,,Maniac,,,,,
https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-super-skinny-fit-acid-wash-clean-look-stretchable-jeans/10064541/buy,10064541,Roadster,Bottom Wear,jeans,Men,799,1999,60,6000.0%,"28, 30, 32, 34, 36, 38, 40",3.8,987,,,Price,,,,,
https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-quarter-length-pack-of-3-terry-socks/976816/buy,976816,HRX by Hrithik Roshan,Inner Wear &  Sleep Wear,socks,Men,359,599,40,4000.0%,Onesize,4.5,987,,,"? 1,199.00",,,,,
https://www.myntra.com/tshirts/moda-rapido/moda-rapido-men-olive-green--yellow-striped-cotton-pure-cotton-t-shirt/11269190/buy,11269190,Moda Rapido,Topwear,tshirts,Men,479,1199,60,6000.0%,"S, M, L, XL",4.2,987,,,Rating,,,,,
https://www.myntra.com/tshirts/moda-rapido/moda-rapido-men-olive-green-printed-round-neck-pure-cotton-t-shirt/10266495/buy,10266495,Moda Rapido,Topwear,tshirts,Men,399,999,60,6000.0%,"S, M, L, XL",4,987,,,3.9,,,,,
https://www.myntra.com/tops/harpa/harpa-women-pink-printed-wrap-top/8986005/buy,8986005,Harpa,Western,tops,Women,,1199,52,5200.0%,"S, M, L, XL",4,987,,,,,,,,
https://www.myntra.com/jackets/sassafras/sassafras-women-blue-solid-denim-jacket/10604500/buy,10604500,SASSAFRAS,Western,jackets,Women,,1799,65,6500.0%,"XS, S, M, L, XL, XXL",4.3,987,,,,,,,,
https://www.myntra.com/jeans/roadster/roadster-women-stunning-blue-boyfriend-fit-jeans/11045880/buy,11045880,Roadster,Western,jeans,Women,,2499,75,7500.0%,"26, 28, 30, 32, 34, 36",3.7,987,,,,,,,,
https://www.myntra.com/tshirts/kook-n-keech-marvel/kook-n-keech-marvel-women-red-printed-polo-collar-pure-cotton-t-shirt/8912653/buy,8912653,Kook N Keech Marvel,Western,tshirts,Women,,899,65,6500.0%,"XS, S, M, L, XL",3.9,987,,,,,,,,
https://www.myntra.com/jeans/roadster/roadster-men-blue-slim-fit-mid-rise-mildly-distressed-stretchable-jeans/10064487/buy,10064487,Roadster,Bottom Wear,jeans,Men,989,2199,55,5500.0%,"28, 30, 32, 34, 36",3.7,986,,,,,,,,
https://www.myntra.com/shirts/highlander/highlander-men-white-slim-fit-solid-casual-shirt/2888727/buy,2888727,HIGHLANDER,Topwear,shirts,Men,587,1249,53,5300.0%,"39, 40, 42, 44",4.1,986,,,,,,,,
https://www.myntra.com/tops/pluss/pluss-black-a-line-crop-pure-cotton-top/12150560/buy,12150560,plusS,Plus Size,tops,Women,559,1599,65,6500.0%,"S, M, L, XL, XXL, 3XL, 4XL",4.4,986,,,,,,,,
https://www.myntra.com/dresses/la-zoire/la-zoire-maroon-georgette-maxi-dress/2337104/buy,2337104,La Zoire,Western,dresses,Women,,2599,62,6200.0%,"S, M, L, XL",4.3,986,,,,,,,,
https://www.myntra.com/shirts/highlander/highlander-men-black--white-slim-fit-striped-casual-shirt/12027772/buy,12027772,HIGHLANDER,Topwear,shirts,Men,493,1049,53,5300.0%,"39, 40, 42, 44",4.2,985,,,,,,,,
https://www.myntra.com/shirts/highlander/highlander-men-navy--off-white-slim-fit-checked-casual-shirt/2429098/buy,2429098,HIGHLANDER,Topwear,shirts,Men,699,999,30,3000.0%,"39, 40, 42, 44",4,985,,,,,,,,
https://www.myntra.com/kurtas/anayna/anayna-women-beige--pink-screen-print-straight-kurta/11530828/buy,11530828,anayna,Indian Wear,kurtas,Women,581,1660,65,6500.0%,"S, M, L, XL, XXL, 3XL",4.3,985,,,,,,,,
https://www.myntra.com/bra/enamor/enamor-white-non-wired-non-padded-full-coverage-everyday-bra-ab75-/130968/buy,130968,Enamor,Lingerie & Sleep Wear,bra,Women,,779,,,"34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D, 40B, 40C, 40D, 42B, 42C, 42D",4.4,985,,,,,,,,
https://www.myntra.com/kurta-sets/sangria/sangria-women-fuchsia--white-layered-printed-kurta-with-trousers/8350055/buy,8350055,Sangria,Plus Size,kurta-sets,Women,2924,4499,35,3500.0%,"XS, S, M, L, XL, XXL, 3XL",4,985,,,,,,,,
https://www.myntra.com/tops/roadster/the-roadster-lifestyle-co-women-black-striped-top/10856472/buy,10856472,Roadster,Western,tops,Women,,1499,60,6000.0%,"XS, S, M, L, XL",4,985,,,,,,,,
https://www.myntra.com/shirts/roadster/roadster-men-blue-faded-denim-casual-sustainable-shirt/6687412/buy,6687412,Roadster,Topwear,shirts,Men,,999,,,"38, 40, 42, 44, 46, 48",4,984,,,,,,,,
https://www.myntra.com/dresses/sangria/sangria-teal-blue--coral-pink-floral-print-a-line-dress/11174094/buy,11174094,Sangria,Indian Wear,dresses,Women,799,1999,60,6000.0%,"XS, S, M, L, XL, XXL, 3XL",4.3,984,,,,,,,,
https://www.myntra.com/kurta-sets/azira/azira-women-green-printed-kurta-with-palazzos--dupatta/13141478/buy,13141478,Azira,Indian Wear,kurta-sets,Women,1429,2599,45,4500.0%,"XS, S, M, L, XL, XXL, 3XL",4.2,984,,,,,,,,
https://www.myntra.com/tshirts/roadster/roadster-women-mustard-yellow-solid-round-neck-t-shirt/2439141/buy,2439141,Roadster,Western,tshirts,Women,,599,60,6000.0%,"XS, S, M, L, XL",4.2,984,,,,,,,,
https://www.myntra.com/shirts/roadster/roadster-men-maroon-pure-cotton-sustainable-casual-shirt/11903990/buy,11903990,Roadster,Topwear,shirts,Men,659,1199,45,4500.0%,"38, 40, 42, 44",4.2,983,,,,,,,,
https://www.myntra.com/kurta-sets/anouk/anouk-women-green-printed-kurti-with-dhoti-pants/12337118/buy,12337118,Anouk,Indian Wear,kurta-sets,Women,774,3099,75,7500.0%,"XS, S, M, L, XL, XXL",4.2,983,,,,,,,,
https://www.myntra.com/tops/herenow/herenow-women-blue-schifilli-embroidered-pure-cotton-top/12650884/buy,12650884,HERE&NOW,Plus Size,tops,Women,719,1799,60,6000.0%,"XS, S, M, L, XL, XXL",4.2,983,,,,,,,,
https://www.myntra.com/kurtas/sangria/sangria-women-green--yellow-printed-straight-kurta/8350425/buy,8350425,Sangria,Plus Size,kurtas,Women,999,3999,75,7500.0%,"XS, S, M, L, XL, XXL, 3XL",4.2,983,,,,,,,,
https://www.myntra.com/tshirts/roadster/roadster-women-set-of-2-printed-t-shirts/17381750/buy,17381750,Roadster,Western,tshirts,Women,,1998,,,"XS, S, M, L, XL",4.2,983,,,,,,,,
https://www.myntra.com/jeans/wrogn/wrogn-men-blue-slim-fit-mid-rise-clean-look-stretchable-jeans/6832275/buy,6832275,WROGN,Bottom Wear,jeans,Men,1539,2799,45,4500.0%,"28, 30, 32, 34, 36, 38",3.9,982,,,,,,,,
https://www.myntra.com/shirts/roadster/roadster-men-grey-printed-pure-cotton-sustainable-casual-shirt/7256007/buy,7256007,Roadster,Topwear,shirts,Men,,524,,,"38, 40, 42, 44",4.1,982,,,,,,,,
https://www.myntra.com/trousers/tokyo-talkies/tokyo-talkies-women-maroon-regular-fit-solid-parallel-trousers/13035312/buy,13035312,Tokyo Talkies,Western,trousers,Women,,1549,58,5800.0%,"28, 30, 32, 34",4,982,,,,,,,,
https://www.myntra.com/jeans/roadster/roadster-women-stunning-blue-boyfriend-fit-stretchable-jeans/11045892/buy,11045892,Roadster,Western,jeans,Women,,2699,75,7500.0%,"26, 28, 30, 32, 34, 36",3.8,982,,,,,,,,
https://www.myntra.com/tops/taavi/taavi-white--orange-hand-block-print-smocked-legacy-sustainable-pure-cotton-a-line-top/11157486/buy,11157486,Taavi,Western,tops,Women,,999,45,4500.0%,"XS, S, M, L, XL",4.4,982,,,,,,,,
https://www.myntra.com/tshirts/wrogn/wrogn-men-navy-blue-striped-slim-fit-cotton-pure-cotton-t-shirt/11363302/buy,11363302,WROGN,Topwear,tshirts,Men,649,1299,50,5000.0%,"S, M, L, XL, XXL",4.3,981,,,,,,,,
https://www.myntra.com/kurtas/varanga/varanga-women-mustard-yellow-solid-straight-kurta-with-thread-work/12412864/buy,12412864,Varanga,Indian Wear,kurtas,Women,579,1999,71,7100.0%,"S, M, L, XL, XXL",4.3,981,,,,,,,,
https://www.myntra.com/shapewear/zivame/zivame-women-grey-tummy--thigh-shaper-zi0pssan03agrey/7569310/buy,7569310,Zivame,Lingerie & Sleep Wear,shapewear,Women,746,995,25,2500.0%,"S, M, L, XL, XXL",3.9,981,,,,,,,,
https://www.myntra.com/tops/herenow/herenow-black-ethnic-motifs-a-line-top/7102379/buy,7102379,HERE&NOW,Plus Size,tops,Women,629,1399,55,5500.0%,"XS, S, M, L, XL, XXL, 3XL",4.2,981,,,,,,,,
https://www.myntra.com/tops/her-by-invictus/her-by-invictus-white-shirt-style-top/9240973/buy,9240973,her by invictus,Western,tops,Women,,1599,35,3500.0%,"S, M, L, XL, XXL",4.2,981,,,,,,,,
https://www.myntra.com/jackets/sassafras/sassafras-women-lavender-solid-cropped-jacket/12222046/buy,12222046,SASSAFRAS,Western,jackets,Women,,1799,60,6000.0%,"XS, S, M, L, XL, XXL",4.5,981,,,,,,,,
https://www.myntra.com/jackets/street-9/street-9-women-white-solid-crop-jacket/7772505/buy,7772505,STREET 9,Western,jackets,Women,,1999,50,5000.0%,"XS, S, M, L, XL",4.3,981,,,,,,,,
https://www.myntra.com/tshirts/mast--harbour/mast--harbour-women-pink-solid-round-neck-t-shirt/11711920/buy,11711920,Mast & Harbour,Western,tshirts,Women,,799,60,6000.0%,"XS, S, M, L, XL",4.3,981,,,,,,,,
https://www.myntra.com/briefs/levis/levis-men-pack-of-2-solid-pure-cotton--briefs-bf-100ca-2pk/9262959/buy,9262959,Levis,Inner Wear &  Sleep Wear,briefs,Men,,339,,,"S, M, L, XL",4.3,980,,,,,,,,
https://www.myntra.com/shirts/highlander/highlander-men-peach-coloured-slim-fit-solid-casual-shirt/2888743/buy,2888743,HIGHLANDER,Topwear,shirts,Men,562,1249,55,5500.0%,"39, 40, 42, 44",4,980,,,,,,,,
https://www.myntra.com/kurta-sets/anubhutee/anubhutee-women-red--off-white-bandhani-print-kurta-with-palazzos/13021502/buy,13021502,Anubhutee,Indian Wear,kurta-sets,Women,1597,3399,53,5300.0%,"S, M, L, XL, XXL",3.9,980,,,,,,,,
https://www.myntra.com/briefs/dollar-missy/dollar-missy-women-pack-of-12-hipster--101s-oe-po12/8025483/buy,8025483,Dollar Missy,Lingerie & Sleep Wear,briefs,Women,1080,1800,40,4000.0%,"XS, S, M, L, XL, XXL",4.4,980,,,,,,,,
https://www.myntra.com/sweatshirts/roadster/the-roadster-lifestyle-co-women-orange-solid-hooded-sweatshirt/9901951/buy,9901951,Roadster,Western,sweatshirts,Women,,1199,70,7000.0%,"XS, S, M, L, XL",4.3,980,,,,,,,,
https://www.myntra.com/tops/trend-arrest/trend-arrest-women-red--white-floral-printed-smocked-crop-peplum-top/11709228/buy,11709228,Trend Arrest,Western,tops,Women,,1299,30,3000.0%,"XS, S, M, L",4.4,980,,,,,,,,
https://www.myntra.com/jeans/roadster/roadster-women-blue-skinny-fit-high-rise-clean-look-stretchable-cropped-jeans/11541522/buy,11541522,Roadster,Western,jeans,Women,,1699,55,5500.0%,"26, 28, 30, 32, 34, 36",4.1,980,,,,,,,,
https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-navy-blue-solid-training-t-shirt/10106025/buy,10106025,HRX by Hrithik Roshan,Sports Wear,tshirts,Men,359,899,60,6000.0%,"S, M, L, XL, XXL",4.3,979,,,,,,,,
https://www.myntra.com/shirts/highlander/highlander-men-blue-slim-fit-solid-casual-shirt/2347572/buy,2347572,HIGHLANDER,Topwear,shirts,Men,610,1299,53,5300.0%,"39, 40, 42, 44",3.8,979,,,,,,,,
https://www.myntra.com/sarees/tikhi-imli/tikhi-imli-yellow-embellished-poly-georgette-saree/11263958/buy,11263958,Tikhi Imli,Indian Wear,sarees,Women,899,1998,55,5500.0%,Onesize,4,979,,,,,,,,
https://www.myntra.com/tights/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-navy-solid-rapid-dry-training-tights/7695835/buy,7695835,HRX by Hrithik Roshan,Sports Wear,tights,Women,,1699,,,"XS, S, M, L, XL, XXL",4.3,979,,,,,,,,
https://www.myntra.com/sweatshirts/belle-fille/belle-fille-maroon-polyester-fleece-hooded-sweatshirt/596473/buy,596473,Belle Fille,Western,sweatshirts,Women,,1595,60,6000.0%,"S, M, L, XL, XXL",3.6,978,,,,,,,,
https://www.myntra.com/jeans/roadster/roadster-women-blue-boyfriend-fit-high-rise-clean-look-stretchable-jeans/8801149/buy,8801149,Roadster,Western,jeans,Women,,1999,60,6000.0%,"26, 28, 30, 32, 34, 36",4.2,978,,,,,,,,
